,NEO_REFERENCE_ID,EST_DIA_IN_M(MIN),EST_DIA_IN_M(MAX),RELATIVE_VELOCITY_KM_PER_SEC,MISS_DIST.(KILOMETERS),PERIHELION_DISTANCE,APHELION_DIST,PERIHELION_TIME,MEAN_ANOMALY,MEAN_MOTION,RISK_CATEGORY
148,3767159,12.14940408,27.16689341,12.9176268,34798508.0,0.943241778,1.71185628,2457814.686,119.7311349,0.644359476,0
149,3667132,22.10828104,49.43561926,8.904899041,37934904.0,0.723840099,1.653662264,2458107.041,278.981629,0.76044469,0
150,3771566,8.801465209,19.68067451,8.037417875,11295222.0,0.836419464,1.690187449,2457885.269,79.98591895,0.694132769,0
151,3557335,23.15021222,51.76544822,6.60315213,5569425.0,1.002479913,1.779947473,2457978.178,13.40773762,0.600638697,0
152,3691354,21.11324448,47.21064988,6.332631147,17834808.0,0.997154572,1.265808651,2458178.564,214.1823512,0.818903681,0
153,3177201,42.12646106,94.19763057,4.036852892,1968957.875,0.984324441,1.365876678,2458169.69,229.0919814,0.773733721,0
154,3736805,6.991252323,15.63291544,4.842911083,24307536.0,0.718640751,1.155873618,2457946.854,58.27140158,1.086215277,0
155,3684353,36.69061375,82.04270649,6.873315416,37969672.0,1.135059752,1.240259806,2457871.121,98.52158844,0.761493149,0
156,3748472,11.08038821,24.77650126,2.608256041,12762400.0,0.835922839,1.168455684,2458097.776,264.4382556,0.982379873,0
157,3690061,26.58,59.43468684,11.41550538,32271954.0,0.742704851,1.119569743,2458026.151,331.8622581,1.096941557,0
158,3747992,22.10828104,49.43561926,11.19950105,34836728.0,0.715068661,1.023604203,2457906.714,114.0409109,1.215968301,0
159,3519453,10.58168859,23.66137501,8.450206663,697501.5625,0.859277273,1.572025601,2457827.884,126.9318017,0.735343863,0
160,3410534,12.14940408,27.16689341,5.536902725,50861476.0,0.902440714,1.594803721,2458111.677,281.463541,0.706411054,0
161,3693238,33.46223745,74.82383761,6.541524922,6501664.5,1.034248158,3.544529463,2458210.638,300.209837,0.284527822,0
162,3699446,9.216265485,20.60819612,12.40877281,533181.4375,0.907364903,3.555969095,2458175.856,308.1580292,0.295637817,0
163,3663258,10.58168859,23.66137501,8.965194399,23981302.0,0.567980593,1.290169488,2457956.558,48.36191612,1.100595884,0
164,3688106,10.919857055435413,24.417542686103797,4.221057954997105,23964064.68509816,0.8635082839239099,1.3064719789669406,2457930.774584402,59.471434272598614,0.8899183182817829,0
165,3678017,13.567086064113175,30.336926699927425,12.840528984123917,1290992.0671657205,0.7906826732307719,2.2240584891480446,2458145.431760552,276.0803473990396,0.5663825515676983,0
166,3324648,7.428341192045869,16.61027586729896,6.885123447624918,517756.3186963581,0.8939636702154227,1.6143831135030324,2458094.2042127075,204.29719726084562,0.749519481701563,0
