,NEO_REFERENCE_ID,EST_DIA_IN_M(MIN),EST_DIA_IN_M(MAX),RELATIVE_VELOCITY_KM_PER_SEC,MISS_DIST.(KILOMETERS),PERIHELION_DISTANCE,APHELION_DIST,PERIHELION_TIME,MEAN_ANOMALY,MEAN_MOTION,RISK_CATEGORY
776,2162854,402.3045798,899.5803882,10.98554227,41459588.0,1.125334586,1.52051299,2457976.985,15.23187455,0.647741668,2
777,2435058,242.4124811,542.0507863,10.69442676,26322212.0,1.15350346,1.529492929,2457792.085,132.2051189,0.634335381,1
778,3738910,73.20739893,163.6967205,5.317041795,68770032.0,1.083634284,1.778127563,2458070.0,319.9795823,0.575836027,1
779,3667121,88.01465209,196.8067451,16.5034822,47267712.0,0.705916218,1.327248997,2458020.813,340.4675542,0.961590272,1
780,3559596,6.676594135,14.92931834,10.79064286,241723.0,0.723113052,1.57763173,2457821.336,143.119186,0.798815345,0
781,3102734,278.3267681,622.3575734,18.85157418,67534872.0,1.050633761,2.391178909,2457957.4,18.8167955,0.436584411,2
782,3669253,441.1182,986.3702813,14.05428493,1251204.375,0.6303045,1.071347662,2458062.635,281.9665798,1.255864784,2
783,3648764,80.27031673,179.4898848,16.10521617,46217292.0,0.988192646,3.11397906,2457602.62,133.4999088,0.33552765,1
784,3151654,421.2646106,941.9763057,19.92452594,74531680.0,1.197485978,2.777775957,2457942.983,309.8855268,0.351722735,2
785,3562321,211.1324448,472.1064988,14.2879809,57734340.0,0.424378215,1.368299666,2457976.506,27.86736523,1.161437054,1
786,3703783,27.83267681,62.23575734,7.512621029,14045633.0,0.825168578,1.793705522,2458070.005,314.2811154,0.657774657,0
787,3639421,60.89126221,136.1570015,11.78993268,35757888.0,0.77440447,1.070834045,2457914.903,95.19851114,1.112167759,1
788,3648862,291.4439045,651.6883822,11.60222596,54164560.0,0.653270297,0.894043604,2457937.072,91.86718499,1.448376355,2
789,3002856,265.8,594.3468684,19.89548607,8271737.0,0.666195549,3.186037685,2458065.428,336.0605206,0.368706002,2
790,3646046,146.0679643,326.6178974,19.22316546,15266183.0,0.888676013,1.479310862,2457816.155,141.0296512,0.765032933,2
791,3669253,441.1182,986.3702813,13.56000314,6688478.5,0.6303045,1.071347662,2458062.635,281.9665798,1.255864784,2
792,3249347,146.0679643,326.6178974,14.39042368,59269080.0,1.034101312,1.449682957,2458237.857,190.9632678,0.712161119,2
793,3738915,8.801465209,19.68067451,8.79265232,73874928.0,0.817817088,1.589916376,2457916.728,62.50783072,0.746167715,0
794,2252793,384.1978911,859.0926012,22.17107112,59896936.0,1.028573947,1.601224875,2457765.855,153.3830918,0.653680121,2
795,2162854,402.3045798,899.5803882,11.14104089,68566216.0,1.125334586,1.52051299,2457976.985,15.23187455,0.647741668,2
796,3601337,4.023045798,8.995803882,15.67739343,65316044.0,0.928482777,1.172139235,2457893.487,97.98562042,0.91564515,0
797,3463371,183.8886721,411.187571,19.66727897,54831432.0,0.639674145,1.185759888,2458072.706,278.3844048,1.130315941,2
798,3761030,42.12646106,94.19763057,12.91760689,12448760.0,0.895303516,2.259699049,2458352.153,185.0700818,0.497450065,1
799,3072291,8.405334021,18.79489824,4.982978215,3972177.25,0.747700572,1.029401012,2457981.128,22.79601007,1.176740461,0
800,3177232,16.77084622,37.50075218,25.39055592,49641016.0,0.445887278,1.311343462,2457976.422,28.815745,1.196756732,1
801,3661495,26.58,59.43468684,9.598058519,67007976.0,0.721266131,1.322529147,2458134.284,232.3566107,0.954097988,0
802,3363431,10.10543415,22.59643771,9.440650493,1840331.375,0.907294762,2.480982522,2458151.375,292.5632617,0.446972343,0
803,2451370,133.2155667,297.8790628,5.577153637,44317440.0,0.913690826,1.461774965,2458160.517,238.1592918,0.761422834,2
804,3738913,16.0160338,35.8129403,6.524207237,29124748.0,0.806528649,1.361476861,2457854.918,127.1348784,0.873290016,0
805,3742883,18.38886721,41.1187571,18.0911966,39187308.0,0.919410734,3.214453159,2458477.506,201.7883584,0.33167658,1
806,3330159,33.46223745,74.82383761,4.128090744,42728476.0,0.954351315,1.448802219,2458120.688,270.0631626,0.7483018,0
807,3328634,63.76097899,142.5738833,4.960303431,24905634.0,1.052265363,1.687173205,2457860.765,85.91348921,0.614832362,1
808,3683466,96.50614696,215.7943048,2.664260658,16562981.0,1.096107767,1.725125749,2458039.03,337.3330733,0.588288712,0
809,3546697,36.69061375,82.04270649,7.34905085,5285043.0,1.025773304,3.291831438,2457765.266,73.09456576,0.310731116,0
810,2136897,530.3407233,1185.877909,22.65365506,72997976.0,1.19334541,1.533408634,2458057.139,324.9332156,0.619127534,2
811,2477762,305.1792326,682.4015094,14.43927303,43478788.0,1.042579906,3.078987654,2457730.089,90.09078299,0.333161979,2
812,3295788,101.0543415,225.9643771,20.49352787,68891656.0,0.564441993,2.137964577,2457614.23,351.3840525,0.627513445,1
813,2153958,581.5070396,1300.28927,9.552226936,5257593.5,0.933857149,2.472202985,2457788.673,93.94048209,0.443476489,2
814,3772993,9.663956727,21.60926417,8.348806716,43622608.0,0.645276183,1.327564165,2457913.918,87.10404937,1.006030518,0
815,3634615,167.7084622,375.0075218,20.3215382,37480632.0,0.839842748,3.183759853,2458418.028,215.7843984,0.345403272,2
816,2162215,421.2646106,941.9763057,11.6528327,52947476.0,0.60935424,1.553770208,2457814.575,162.9167269,0.876247534,2
817,3418110,58.15070396,130.028927,16.31150986,32632056.0,0.669337377,1.342558703,2458051.792,309.8939882,0.976878948,1
818,3753595,13.32155667,29.78790628,15.49699085,63708576.0,0.563204445,1.071446898,2457977.678,30.44090611,1.333863425,0
819,3021049,60.89126221,136.1570015,5.205144365,2439592.75,0.994763726,1.237298088,2457889.865,92.48763823,0.835968169,1
820,2486692,366.9061375,820.4270649,14.94889995,52638856.0,0.62771404,2.419613154,2457891.701,57.01558743,0.524047238,2
821,3549640,11.60259082,25.94418179,12.02402557,29185414.0,0.677069596,1.055538511,2458032.827,320.4851332,1.22235838,0
822,3170203,175.6123185,392.6810818,8.594495654,3575105.0,0.644711408,1.114494744,2458024.065,331.8457774,1.194741543,2
823,3742340,127.2198785,284.4722965,21.97705048,72553072.0,0.662123423,1.471706583,2457965.659,31.16049398,0.894353767,1
824,3064315,73.20739893,163.6967205,10.60107441,23907306.0,0.776091508,1.188811431,2458163.073,195.454173,1.012132601,1
825,3512347,242.4124811,542.0507863,16.06800138,74385368.0,0.566363282,1.561262135,2457865.21,121.5264595,0.898268794,2
826,3669254,73.20739893,163.6967205,17.28518038,28687712.0,0.855431587,2.354955487,2458332.328,199.1853057,0.484632986,1
827,3690684,14.60679643,32.66178974,12.21260174,774283.3125,0.910264773,3.794817245,2458208.945,303.0636414,0.273148154,0
828,3752729,152.9519353,342.0109247,23.88548578,59491048.0,0.613482436,1.375603137,2458161.633,199.8773411,0.993731064,2
829,3754328,105.8168859,236.6137501,8.055729004,35138516.0,0.87122287,1.324126492,2458188.456,198.917289,0.857025223,1
830,3763594,38.41978911,85.90926012,11.52267777,32045446.0,1.064193078,3.640010756,2457729.8,73.9618032,0.273224645,1
831,3471590,201.6299194,450.8582062,19.77173592,19511080.0,0.704348163,2.686884352,2457622.043,168.9386863,0.446388211,2
832,2455415,152.9519353,342.0109247,7.011737305,66923300.0,1.036413791,1.527218949,2458097.318,294.2462048,0.67914945,1
833,3515380,73.20739893,163.6967205,16.75903886,32055784.0,0.732561832,1.577178816,2457931.583,54.7302859,0.794153111,1
834,2477524,461.9074603,1032.856481,18.74824137,60645220.0,1.221485872,1.334083146,2457928.728,48.97511466,0.682366419,2
835,3653259,66.76594135,149.2931834,20.84424346,62455876.0,0.640538073,1.078763121,2457934.781,81.26682112,1.236576873,1
836,3690051,231.5021222,517.6544822,12.33057749,61196952.0,0.696237974,1.715473494,2457976.15,18.12391588,0.744322324,2
837,3733852,121.4940408,271.6689341,12.95583266,26188328.0,0.615932578,2.233462973,2457883.715,67.68716601,0.57958876,1
838,3759277,55.53349116,124.1766613,18.81596885,16818482.0,0.528558408,2.683282006,2457573.001,31.72164498,0.484304082,1
839,3126185,291.4439045,651.6883822,16.37255397,58314756.0,0.568114363,1.793097562,2457917.647,63.65833484,0.768327921,2
840,3309828,221.0828104,494.3561926,19.68974057,68138024.0,0.495394568,0.991378058,2458054.708,276.641821,1.537737597,2
