,NEO_REFERENCE_ID,EST_DIA_IN_M(MIN),EST_DIA_IN_M(MAX),RELATIVE_VELOCITY_KM_PER_SEC,MISS_DIST.(KILOMETERS),PERIHELION_DISTANCE,APHELION_DIST,PERIHELION_TIME,MEAN_ANOMALY,MEAN_MOTION,HAZARDOUS,RISK_CATEGORY
1125,3152317,152.9519353,342.0109247,15.20233521,47355100.0,0.713301734,1.030769991,2457939.32,74.04750122,1.210326537,1,2
1126,3330159,33.46223745,74.82383761,4.128090744,42728476.0,0.954351315,1.448802219,2458120.688,270.0631626,0.7483018,0,0
1127,3328634,63.76097899,142.5738833,4.960303431,24905634.0,1.052265363,1.687173205,2457860.765,85.91348921,0.614832362,0,1
1128,3683466,96.50614696,215.7943048,2.664260658,16562981.0,1.096107767,1.725125749,2458039.03,337.3330733,0.588288712,0,0
1129,3546697,36.69061375,82.04270649,7.34905085,5285043.0,1.025773304,3.291831438,2457765.266,73.09456576,0.310731116,0,0
1130,2136897,530.3407233,1185.877909,22.65365506,72997976.0,1.19334541,1.533408634,2458057.139,324.9332156,0.619127534,0,2
1131,2477762,305.1792326,682.4015094,14.43927303,43478788.0,1.042579906,3.078987654,2457730.089,90.09078299,0.333161979,0,2
1132,3295788,101.0543415,225.9643771,20.49352787,68891656.0,0.564441993,2.137964577,2457614.23,351.3840525,0.627513445,0,1
1133,2153958,581.5070396,1300.28927,9.552226936,5257593.5,0.933857149,2.472202985,2457788.673,93.94048209,0.443476489,1,2
1134,3772993,9.663956727,21.60926417,8.348806716,43622608.0,0.645276183,1.327564165,2457913.918,87.10404937,1.006030518,0,0
1135,3634615,167.7084622,375.0075218,20.3215382,37480632.0,0.839842748,3.183759853,2458418.028,215.7843984,0.345403272,1,2
1136,2162215,421.2646106,941.9763057,11.6528327,52947476.0,0.60935424,1.553770208,2457814.575,162.9167269,0.876247534,0,2
1137,3418110,58.15070396,130.028927,16.31150986,32632056.0,0.669337377,1.342558703,2458051.792,309.8939882,0.976878948,0,1
1138,3753595,13.32155667,29.78790628,15.49699085,63708576.0,0.563204445,1.071446898,2457977.678,30.44090611,1.333863425,0,0
1139,3021049,60.89126221,136.1570015,5.205144365,2439592.75,0.994763726,1.237298088,2457889.865,92.48763823,0.835968169,0,1
1140,3610358,441.1182,986.3702813,20.30243159,66033704.0,0.56764117,3.061958295,2458089.414,324.1549104,0.403144755,0,2
1141,2486692,366.9061375,820.4270649,14.94889995,52638856.0,0.62771404,2.419613154,2457891.701,57.01558743,0.524047238,0,2
1142,3549640,11.60259082,25.94418179,12.02402557,29185414.0,0.677069596,1.055538511,2458032.827,320.4851332,1.22235838,0,0
1143,2483459,231.5021222,517.6544822,18.5574341,27426946.0,0.995865262,1.323495678,2457959.53,32.33412419,0.789217231,0,2
1144,3599931,116.0259082,259.4418179,7.297774429,30719222.0,1.155612651,1.866208899,2457986.062,7.662343128,0.530696039,0,1
1145,3170203,175.6123185,392.6810818,8.594495654,3575105.0,0.644711408,1.114494744,2458024.065,331.8457774,1.194741543,1,2
1146,3742340,127.2198785,284.4722965,21.97705048,72553072.0,0.662123423,1.471706583,2457965.659,31.16049398,0.894353767,0,1
1147,3064315,73.20739893,163.6967205,10.60107441,23907306.0,0.776091508,1.188811431,2458163.073,195.454173,1.012132601,0,1
1148,3131064,581.5070396,1300.28927,13.72053491,63253944.0,1.051142725,2.796754681,2458423.909,203.6226095,0.369329366,0,2
1149,3512347,242.4124811,542.0507863,16.06800138,74385368.0,0.566363282,1.561262135,2457865.21,121.5264595,0.898268794,0,2
1150,3669254,73.20739893,163.6967205,17.28518038,28687712.0,0.855431587,2.354955487,2458332.328,199.1853057,0.484632986,0,1
1151,3690684,14.60679643,32.66178974,12.21260174,774283.3125,0.910264773,3.794817245,2458208.945,303.0636414,0.273148154,0,0
1152,3639436,278.3267681,622.3575734,14.34289638,25913570.0,0.62282592,1.024946505,2457970.789,39.15839463,1.317963008,0,2
1153,3752729,152.9519353,342.0109247,23.88548578,59491048.0,0.613482436,1.375603137,2458161.633,199.8773411,0.993731064,1,2
1154,3754328,105.8168859,236.6137501,8.055729004,35138516.0,0.87122287,1.324126492,2458188.456,198.917289,0.857025223,0,1
1155,3763594,38.41978911,85.90926012,11.52267777,32045446.0,1.064193078,3.640010756,2457729.8,73.9618032,0.273224645,0,1
